Tweet-text,Uniqueness
@Danielmaran0 You can use a app that tells you who is not following you. I use unfollower stats.,Literary
"✨ Stolen Kiss

Deeznutstk would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/llDPeQ5vSy https://t.co/7dcTbshn7c",Literary
"“There are two different kinds of ninja. Those like you who are born with a natural talent &amp; do not have to work at it &amp; those like me! The ones who have to train everyday of our lives!” - Rock Lee 

New drip from @hypland 🥷🏽 https://t.co/T19o1BkAv8",Literary
"@thereidout @JRubinBlogger They have literally said they would prefer to die than compromise with Democrats. 

When someone shows you who they are, believe them.",Literary
"✨ Stolen Kiss

KR1SHIEIJI would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/FRXFT3os5H https://t.co/l2YzeGFk08",Literary
"Annie, Jesus said come to Me all you who are heavy laden ( depressed) and I will give you rest. Lay your burdens on Him, He loves you because you are His precious child. God give you peace! https://t.co/fgWjORb51y",Literary
"unlike you, who have to go through 'Marriage' to acquire his last name, i will obtain his last name by slaying him on the top of a mountain and taking it for my own",Literary
"I just realized something... if you live with a roommate who keeps letting some asshole live with you who keeps stealing from him and moving back in over and over, you can basically steal whatever you want. Everything in the house now belongs to you.",Literary
"@RWMaloneMD We are living in sad times, but thank God we have scientist like you who stand behind their convictions!",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year KAW4GAR1 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/gaqoUjszbP https://t.co/pVthwVvVKm",Literary
"@mixedracemagic @BritniDWrites @SincerelyTops So. Why do I get to gate keep an identity that had always included a wide range of skin tones?

Simply because YOU who admits or at least says you don't present as Black, believe anyone with mixed race should be excluded. https://t.co/vZIeAGMyCH",Literary
"Beautiful mademoiselle. 
Is there fierceness within you? 
Who will survive to the end?",Non-literary
"@anoepiphany now ur saying that, ur really desperate to find ways to slander them. They will grow even more. Their growth isnt in a fast pace, but one day more people will recognize their talent and music. ig unlike you who's jobless with no life",Non-literary
"This from the man who tells you who you can have in your own home. 
Another rules for thee but not for me ruler right here. https://t.co/4KkuFt7EZY",Literary
@caroljsroth It’s people like you who keep most of us on @twitter.,Literary
"✨ Stolen Kiss

Henry_Stickmin_ would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/qGrXzg94k2 https://t.co/Sge4QQScGz",Literary
@ratattatattata2 I think its you who ned a brain.. im literally trying to explain to you and giving you both sides of the story with those threads but just cant seem to read it 🤷‍♀️ im not gonna argue with someone who cant give me facts and points. Keep it up defending YD!! Goodluck tho,Literary
"@ActivateLearn Yes. And while it's galling to a lot of us, it must have an extra flavour for someone like you who did serve.",Literary
"Getting your COVID-19 vaccine isn’t just about keeping you healthy; it’s also about protecting everyone around you who could become very sick from COVID-19.

Get your vaccine: https://t.co/jFSppSuYCx. https://t.co/gxGV1DcSLk",Literary
"As if it’s been promised, I mumble by myself in front of you, who can’t hear
I want to go to you",Non-literary
"When someone shows you who they are, believe them the first time.",Literary
"@VariantTiresias @arizona_bonnie @anthonyzenkus @IbaraEleven @SenSchumer @AdelphiU @Columbia Don't be stupid. I don't think either is worth losing sleep over. It's people like you who are convinced that this is something beause people like Zenkus-no friend to women at all-tell you nonsense. Children don't like adults, no crime.",Literary
"A bad job ruins good employees, and with that companies wonder why they have a hard time finding employees. Who’d you trust when asking about a job ? Someone who’s worked there or the people trying to hire you? Who knows the cons and who’s the con artist?  

Just some thoughts.",Non-literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year _Charles_Calvin 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/bEvpY2PdTA https://t.co/olE6nbFfgY",Literary
"@Sunshin00252093 @Hollywo30274033 @molejoels14 @MaajidNawaz Don’t forget to fight for the freedom of the nurses and doctors you expect to care for you, who will be exposed to high viral loads of COVID every day. For Australian healthcare workers, their struggle may only just be beginning if we don’t get high vaccination rates.",Literary
"@Boboog1 It’s called brotherly love, if I nor care fr you who will?",Non-literary
@patriottakes Well he can ride a bike &amp; run unlike you who couldn’t even walk down a ramp,Non-literary
"it was you who led me through the maze you're my light and salvation
the rain is coming close to an end and I won't let go of your hand
✷      ·  　　　　　·
  　 + 　  　 · 　　  ✫ 　　　　　　　 
.      ✺  · 　.　*  ⋆ 　.
#SUGA
#SUGAOURWORLD
#MyYooniverse
SUGA OUR UNIVERSE https://t.co/ZaYDtnqc4y",Literary
